Variable,Year,Value,RSE,State,Industry
Dairy cattle at June 30 (no.),1992,0,,Queensland,Sheep
Lambs at 30 June (no.),1992,800,18,Queensland,Sheep
Sheep flock at 30 June (no.),1992,7087,5,Queensland,Sheep
Beef bulls at 30 June (no.),1992,14,20,Queensland,Sheep-Beef
Beef calves at 30 June (no.),1992,181,18,Queensland,Sheep-Beef
Beef cows at 30 June (no.),1992,336,14,Queensland,Sheep-Beef
Dairy cattle at June 30 (no.),1992,0,,Queensland,Sheep-Beef
Lambs at 30 June (no.),1992,370,28,Queensland,Sheep-Beef
Sheep flock at 30 June (no.),1992,4964,11,Queensland,Sheep-Beef
Beef bulls at 30 June (no.),1992,3,21,South Australia,All Broadacre
Beef calves at 30 June (no.),1992,28,10,South Australia,All Broadacre
Beef cows at 30 June (no.),1992,38,10,South Australia,All Broadacre
Dairy cattle at June 30 (no.),1992,1,97,South Australia,All Broadacre
Lambs at 30 June (no.),1992,424,8,South Australia,All Broadacre
Sheep flock at 30 June (no.),1992,1739,5,South Australia,All Broadacre
Beef bulls at 30 June (no.),1992,19,45,South Australia,Beef
Beef calves at 30 June (no.),1992,250,16,South Australia,Beef
Beef cows at 30 June (no.),1992,320,16,South Australia,Beef
Dairy cattle at June 30 (no.),1992,0,,South Australia,Beef
Lambs at 30 June (no.),1992,17,106,South Australia,Beef
Sheep flock at 30 June (no.),1992,90,93,South Australia,Beef
Beef bulls at 30 June (no.),1992,0,82,South Australia,Cropping
Beef calves at 30 June (no.),1992,1,143,South Australia,Cropping
Beef cows at 30 June (no.),1992,2,122,South Australia,Cropping
Dairy cattle at June 30 (no.),1992,3,97,South Australia,Cropping
Lambs at 30 June (no.),1992,168,21,South Australia,Cropping
Sheep flock at 30 June (no.),1992,724,14,South Australia,Cropping
Dairy cattle at June 30 (no.),1992,163,8,South Australia,Dairy
Dairy cows at 30 June (no.),1992,102,7,South Australia,Dairy
Beef bulls at 30 June (no.),1992,1,57,South Australia,Mixed
Beef calves at 30 June (no.),1992,7,33,South Australia,Mixed
Beef cows at 30 June (no.),1992,11,30,South Australia,Mixed
Dairy cattle at June 30 (no.),1992,0,,South Australia,Mixed
Lambs at 30 June (no.),1992,454,11,South Australia,Mixed
Sheep flock at 30 June (no.),1992,1767,8,South Australia,Mixed
Beef bulls at 30 June (no.),1992,1,25,South Australia,Sheep
Beef calves at 30 June (no.),1992,16,19,South Australia,Sheep
Beef cows at 30 June (no.),1992,25,18,South Australia,Sheep
Dairy cattle at June 30 (no.),1992,0,,South Australia,Sheep
Lambs at 30 June (no.),1992,717,12,South Australia,Sheep
Sheep flock at 30 June (no.),1992,3169,7,South Australia,Sheep
Beef bulls at 30 June (no.),1992,10,29,South Australia,Sheep-Beef
Beef calves at 30 June (no.),1992,90,15,South Australia,Sheep-Beef
Beef cows at 30 June (no.),1992,121,14,South Australia,Sheep-Beef
Dairy cattle at June 30 (no.),1992,0,,South Australia,Sheep-Beef
Lambs at 30 June (no.),1992,584,24,South Australia,Sheep-Beef
Sheep flock at 30 June (no.),1992,2284,15,South Australia,Sheep-Beef
Beef bulls at 30 June (no.),1992,5,14,Tasmania,All Broadacre
Beef calves at 30 June (no.),1992,43,20,Tasmania,All Broadacre
Beef cows at 30 June (no.),1992,81,13,Tasmania,All Broadacre
Dairy cattle at June 30 (no.),1992,1,95,Tasmania,All Broadacre
Lambs at 30 June (no.),1992,402,14,Tasmania,All Broadacre
Sheep flock at 30 June (no.),1992,2346,9,Tasmania,All Broadacre
Beef bulls at 30 June (no.),1992,5,17,Tasmania,Beef
Beef calves at 30 June (no.),1992,53,39,Tasmania,Beef
Beef cows at 30 June (no.),1992,96,24,Tasmania,Beef
Dairy cattle at June 30 (no.),1992,0,,Tasmania,Beef
Lambs at 30 June (no.),1992,12,95,Tasmania,Beef
Sheep flock at 30 June (no.),1992,58,86,Tasmania,Beef
Dairy cattle at June 30 (no.),1992,182,6,Tasmania,Dairy
Dairy cows at 30 June (no.),1992,118,5,Tasmania,Dairy
Beef bulls at 30 June (no.),1992,3,29,Tasmania,Sheep
Beef calves at 30 June (no.),1992,23,32,Tasmania,Sheep
Beef cows at 30 June (no.),1992,49,21,Tasmania,Sheep
Dairy cattle at June 30 (no.),1992,0,,Tasmania,Sheep
Lambs at 30 June (no.),1992,718,15,Tasmania,Sheep
Sheep flock at 30 June (no.),1992,4083,11,Tasmania,Sheep
Beef bulls at 30 June (no.),1992,8,20,Tasmania,Sheep-Beef
Beef calves at 30 June (no.),1992,64,25,Tasmania,Sheep-Beef
Beef cows at 30 June (no.),1992,114,19,Tasmania,Sheep-Beef
Dairy cattle at June 30 (no.),1992,3,95,Tasmania,Sheep-Beef
Lambs at 30 June (no.),1992,424,23,Tasmania,Sheep-Beef
Sheep flock at 30 June (no.),1992,2801,10,Tasmania,Sheep-Beef
Beef bulls at 30 June (no.),1992,2,17,Victoria,All Broadacre
Beef calves at 30 June (no.),1992,28,13,Victoria,All Broadacre
Beef cows at 30 June (no.),1992,42,10,Victoria,All Broadacre
Dairy cattle at June 30 (no.),1992,0,90,Victoria,All Broadacre
Lambs at 30 June (no.),1992,252,8,Victoria,All Broadacre
Sheep flock at 30 June (no.),1992,1258,8,Victoria,All Broadacre
Beef bulls at 30 June (no.),1992,4,18,Victoria,Beef
Beef calves at 30 June (no.),1992,55,14,Victoria,Beef
Beef cows at 30 June (no.),1992,83,10,Victoria,Beef
Dairy cattle at June 30 (no.),1992,0,,Victoria,Beef
Lambs at 30 June (no.),1992,9,48,Victoria,Beef
Sheep flock at 30 June (no.),1992,29,48,Victoria,Beef
Beef bulls at 30 June (no.),1992,0,92,Victoria,Cropping
Beef calves at 30 June (no.),1992,1,59,Victoria,Cropping
Beef cows at 30 June (no.),1992,1,108,Victoria,Cropping
Dairy cattle at June 30 (no.),1992,0,,Victoria,Cropping
Lambs at 30 June (no.),1992,23,50,Victoria,Cropping
Sheep flock at 30 June (no.),1992,152,40,Victoria,Cropping
Dairy cattle at June 30 (no.),1992,192,4,Victoria,Dairy
Dairy cows at 30 June (no.),1992,132,5,Victoria,Dairy
Beef bulls at 30 June (no.),1992,1,110,Victoria,Mixed
Beef calves at 30 June (no.),1992,7,176,Victoria,Mixed
Beef cows at 30 June (no.),1992,11,135,Victoria,Mixed
Dairy cattle at June 30 (no.),1992,0,,Victoria,Mixed
Lambs at 30 June (no.),1992,222,33,Victoria,Mixed
Sheep flock at 30 June (no.),1992,1213,46,Victoria,Mixed
Beef bulls at 30 June (no.),1992,1,23,Victoria,Sheep
Beef calves at 30 June (no.),1992,12,33,Victoria,Sheep
Beef cows at 30 June (no.),1992,19,29,Victoria,Sheep
Dairy cattle at June 30 (no.),1992,1,90,Victoria,Sheep
Lambs at 30 June (no.),1992,574,9,Victoria,Sheep
Sheep flock at 30 June (no.),1992,2924,5,Victoria,Sheep
Beef bulls at 30 June (no.),1992,5,38,Victoria,Sheep-Beef
Beef calves at 30 June (no.),1992,54,16,Victoria,Sheep-Beef
Beef cows at 30 June (no.),1992,80,12,Victoria,Sheep-Beef
Dairy cattle at June 30 (no.),1992,0,,Victoria,Sheep-Beef
Lambs at 30 June (no.),1992,177,19,Victoria,Sheep-Beef
Sheep flock at 30 June (no.),1992,651,14,Victoria,Sheep-Beef
Beef bulls at 30 June (no.),1992,5,27,Western Australia,All Broadacre
Beef calves at 30 June (no.),1992,37,11,Western Australia,All Broadacre
Beef cows at 30 June (no.),1992,69,9,Western Australia,All Broadacre
Dairy cattle at June 30 (no.),1992,0,,Western Australia,All Broadacre
Lambs at 30 June (no.),1992,583,7,Western Australia,All Broadacre
Sheep flock at 30 June (no.),1992,3228,5,Western Australia,All Broadacre
Beef bulls at 30 June (no.),1992,29,8,Western Australia,Beef
Beef calves at 30 June (no.),1992,227,11,Western Australia,Beef
Beef cows at 30 June (no.),1992,462,9,Western Australia,Beef
Dairy cattle at June 30 (no.),1992,0,,Western Australia,Beef
Lambs at 30 June (no.),1992,4,35,Western Australia,Beef
Sheep flock at 30 June (no.),1992,28,50,Western Australia,Beef
Beef bulls at 30 June (no.),1992,0,124,Western Australia,Cropping
Beef calves at 30 June (no.),1992,0,,Western Australia,Cropping
Beef cows at 30 June (no.),1992,1,124,Western Australia,Cropping
Dairy cattle at June 30 (no.),1992,0,,Western Australia,Cropping
Lambs at 30 June (no.),1992,360,21,Western Australia,Cropping
Sheep flock at 30 June (no.),1992,1561,16,Western Australia,Cropping
Dairy cattle at June 30 (no.),1992,227,4,Western Australia,Dairy
Dairy cows at 30 June (no.),1992,127,5,Western Australia,Dairy
Beef bulls at 30 June (no.),1992,3,88,Western Australia,Mixed
Beef calves at 30 June (no.),1992,10,69,Western Australia,Mixed
Beef cows at 30 June (no.),1992,14,63,Western Australia,Mixed
Dairy cattle at June 30 (no.),1992,0,,Western Australia,Mixed
Lambs at 30 June (no.),1992,713,11,Western Australia,Mixed
Sheep flock at 30 June (no.),1992,3344,8,Western Australia,Mixed
Beef bulls at 30 June (no.),1992,1,31,Western Australia,Sheep
Beef calves at 30 June (no.),1992,10,37,Western Australia,Sheep
Beef cows at 30 June (no.),1992,19,29,Western Australia,Sheep
Dairy cattle at June 30 (no.),1992,0,,Western Australia,Sheep
Lambs at 30 June (no.),1992,779,12,Western Australia,Sheep
Sheep flock at 30 June (no.),1992,5659,6,Western Australia,Sheep
Beef bulls at 30 June (no.),1992,9,20,Western Australia,Sheep-Beef
Beef calves at 30 June (no.),1992,108,16,Western Australia,Sheep-Beef
Beef cows at 30 June (no.),1992,164,17,Western Australia,Sheep-Beef
Dairy cattle at June 30 (no.),1992,0,,Western Australia,Sheep-Beef
Lambs at 30 June (no.),1992,306,25,Western Australia,Sheep-Beef
Sheep flock at 30 June (no.),1992,1902,16,Western Australia,Sheep-Beef
Beef bulls at 30 June (no.),1993,5,12,New South Wales,All Broadacre
Beef calves at 30 June (no.),1993,58,8,New South Wales,All Broadacre
Beef cows at 30 June (no.),1993,96,6,New South Wales,All Broadacre
Dairy cattle at June 30 (no.),1993,0,116,New South Wales,All Broadacre
Lambs at 30 June (no.),1993,390,6,New South Wales,All Broadacre
Sheep flock at 30 June (no.),1993,1839,4,New South Wales,All Broadacre
Beef bulls at 30 June (no.),1993,12,22,New South Wales,Beef
Beef calves at 30 June (no.),1993,124,14,New South Wales,Beef
Beef cows at 30 June (no.),1993,227,8,New South Wales,Beef
Dairy cattle at June 30 (no.),1993,0,,New South Wales,Beef
Lambs at 30 June (no.),1993,4,48,New South Wales,Beef
Sheep flock at 30 June (no.),1993,28,71,New South Wales,Beef
Beef bulls at 30 June (no.),1993,2,38,New South Wales,Cropping
Beef calves at 30 June (no.),1993,18,23,New South Wales,Cropping
Beef cows at 30 June (no.),1993,27,24,New South Wales,Cropping
Dairy cattle at June 30 (no.),1993,0,,New South Wales,Cropping
Lambs at 30 June (no.),1993,145,27,New South Wales,Cropping
Sheep flock at 30 June (no.),1993,664,16,New South Wales,Cropping
Dairy cattle at June 30 (no.),1993,188,4,New South Wales,Dairy
Dairy cows at 30 June (no.),1993,116,4,New South Wales,Dairy
Beef bulls at 30 June (no.),1993,3,17,New South Wales,Mixed
Beef calves at 30 June (no.),1993,43,16,New South Wales,Mixed
Beef cows at 30 June (no.),1993,64,12,New South Wales,Mixed
Dairy cattle at June 30 (no.),1993,2,101,New South Wales,Mixed
Lambs at 30 June (no.),1993,495,11,New South Wales,Mixed
Sheep flock at 30 June (no.),1993,2050,7,New South Wales,Mixed
Beef bulls at 30 June (no.),1993,2,28,New South Wales,Sheep
Beef calves at 30 June (no.),1993,23,36,New South Wales,Sheep
Beef cows at 30 June (no.),1993,40,39,New South Wales,Sheep
Dairy cattle at June 30 (no.),1993,0,,New South Wales,Sheep
Lambs at 30 June (no.),1993,687,17,New South Wales,Sheep
Sheep flock at 30 June (no.),1993,3316,17,New South Wales,Sheep
Beef bulls at 30 June (no.),1993,6,16,New South Wales,Sheep-Beef
Beef calves at 30 June (no.),1993,83,15,New South Wales,Sheep-Beef
Beef cows at 30 June (no.),1993,118,13,New South Wales,Sheep-Beef
Dairy cattle at June 30 (no.),1993,0,,New South Wales,Sheep-Beef
Lambs at 30 June (no.),1993,320,14,New South Wales,Sheep-Beef
Sheep flock at 30 June (no.),1993,1832,9,New South Wales,Sheep-Beef
Beef bulls at 30 June (no.),1993,212,6,Northern Territory,All Broadacre
Beef calves at 30 June (no.),1993,1292,8,Northern Territory,All Broadacre
Beef cows at 30 June (no.),1993,2833,6,Northern Territory,All Broadacre
Dairy cattle at June 30 (no.),1993,0,,Northern Territory,All Broadacre
Lambs at 30 June (no.),1993,0,,Northern Territory,All Broadacre
Sheep flock at 30 June (no.),1993,2,87,Northern Territory,All Broadacre
Beef bulls at 30 June (no.),1993,212,6,Northern Territory,Beef
Beef calves at 30 June (no.),1993,1292,8,Northern Territory,Beef
Beef cows at 30 June (no.),1993,2833,6,Northern Territory,Beef
Dairy cattle at June 30 (no.),1993,0,,Northern Territory,Beef
Lambs at 30 June (no.),1993,0,,Northern Territory,Beef
Sheep flock at 30 June (no.),1993,2,87,Northern Territory,Beef
Beef bulls at 30 June (no.),1993,18,10,Queensland,All Broadacre
Beef calves at 30 June (no.),1993,172,6,Queensland,All Broadacre
Beef cows at 30 June (no.),1993,299,5,Queensland,All Broadacre
Dairy cattle at June 30 (no.),1993,0,116,Queensland,All Broadacre
Lambs at 30 June (no.),1993,143,14,Queensland,All Broadacre
